item_name,variation,raw_category,category_group,units_sold,revenue,net_sales,gross_sales,avg_unit_price,est_cost_pct,est_margin
Roasted Cauliflower,Regular,Secondi,Food,13.0,172.78,172.78,207.35,13.29076923076923,0.3,9.30353846153846
Roasted Salmon,Regular,Secondi,Food,11.0,210.34,210.34,252.45,19.12181818181818,0.3,13.385272727272726
Vegan Burger,Regular,Secondi,Food,12.0,165.01,165.01,198.0,13.750833333333333,0.3,9.625583333333331
Couscous Salad,Regular,Sides,Food,3.0,11.25,11.25,13.5,3.75,0.3,2.625
Crushed Baby Potatoes,Regular,Sides,Food,3.0,12.38,12.38,14.85,4.126666666666667,0.3,2.8886666666666665
Signature House Salad,Regular,Sides,Food,25.0,93.75,93.75,112.5,3.75,0.3,2.625
Green Beans,Regular,Sides,Food,2.0,7.5,7.5,9.0,3.75,0.3,2.625
Mac and Cheese,Regular,Sides,Food,4.0,16.66,16.66,20.0,4.165,0.3,2.9154999999999998
Mac and Cheese (Side),Regular,Sides,Food,1.0,4.17,4.17,5.0,4.17,0.3,2.9189999999999996
Pomme Frites,Regular,Sides,Food,47.0,176.36,171.94,206.33,3.7523404255319153,0.3,2.6266382978723404
Sweet Potato Fries,Regular,Sides,Food,21.0,87.54,87.54,105.0,4.168571428571429,0.3,2.918
Tender Stem Broccoli and Cauliflower,Regular,Sides,Food,5.0,22.9,22.9,27.5,4.58,0.3,3.206
Two Sides,Regular,Sides,Food,22.0,146.91,145.71,174.8,6.677727272727273,0.3,4.674409090909091
Mango & Dragon,Regular,Smoothies,Drink,30.0,150.15,149.25,179.1,5.005,0.22,3.9039
Super Berry,Regular,Smoothies,Drink,19.0,95.15,94.25,113.1,5.007894736842106,0.22,3.9061578947368427
Super Green,Regular,Smoothies,Drink,23.0,115.0,115.0,138.0,5.0,0.22,3.9000000000000004
Appletiser,Regular,Soft Drinks,Drink,17.0,55.25,55.25,66.3,3.25,0.22,2.535
Coca Cola,Regular,Soft Drinks,Drink,41.0,140.38,138.94,166.66,3.42390243902439,0.22,2.6706439024390245
Coke Zero,Regular,Soft Drinks,Drink,103.0,336.99,323.54,388.25,3.271747572815534,0.22,2.5519631067961166
Diet Coke,Regular,Soft Drinks,Drink,116.0,377.53,374.41,449.28,3.254568965517241,0.22,2.538563793103448
Ginger Beer,Regular,Soft Drinks,Drink,11.0,35.75,35.75,42.9,3.25,0.22,2.535
San Pellegrino Orange/Lemon,Lemon,Soft Drinks,Drink,12.0,39.0,39.0,46.8,3.25,0.22,2.535
San Pellegrino Orange/Lemon,Orange,Soft Drinks,Drink,5.0,16.25,16.25,19.5,3.25,0.22,2.535
Schweppes Lemonade,Regular,Soft Drinks,Drink,2.0,4.58,4.58,5.5,2.29,0.22,1.7862
